ReaScript API function,reapy API function
ShowMessageBox,show_message_box
ShowPopupMenu,TODO
SLIDER2DB,TODO
SnapToGrid,TODO
SoloAllTracks,TODO
Splash_GetWnd,TODO
SplitMediaItem,TODO
stringToGuid,TODO
StuffMIDIMessage,TODO
TakeFX_AddByName,TODO
TakeFX_CopyToTake,TODO
TakeFX_CopyToTrack,TODO
TakeFX_Delete,TODO
TakeFX_EndParamEdit,TODO
TakeFX_FormatParamValue,TODO
TakeFX_FormatParamValueNormalized,TODO
TakeFX_GetChainVisible,TODO
TakeFX_GetCount,TODO
TakeFX_GetEnabled,TODO
TakeFX_GetEnvelope,TODO
TakeFX_GetFloatingWindow,TODO
TakeFX_GetFormattedParamValue,TODO
TakeFX_GetFXGUID,TODO
TakeFX_GetFXName,TODO
TakeFX_GetIOSize,TODO
TakeFX_GetNamedConfigParm,TODO
TakeFX_GetNumParams,TODO
TakeFX_GetOffline,TODO
TakeFX_GetOpen,TODO
TakeFX_GetParam,TODO
TakeFX_GetParameterStepSizes,TODO
TakeFX_GetParamEx,TODO
TakeFX_GetParamName,TODO
TakeFX_GetParamNormalized,TODO
TakeFX_GetPinMappings,TODO
TakeFX_GetPreset,TODO
TakeFX_GetPresetIndex,TODO
TakeFX_GetUserPresetFilename,TODO
TakeFX_NavigatePresets,TODO
TakeFX_SetEnabled,TODO
TakeFX_SetNamedConfigParm,TODO
TakeFX_SetOffline,TODO
TakeFX_SetOpen,TODO
TakeFX_SetParam,TODO
TakeFX_SetParamNormalized,TODO
TakeFX_SetPinMappings,TODO
TakeFX_SetPreset,TODO
TakeFX_SetPresetByIndex,TODO
TakeFX_Show,TODO
TakeIsMIDI,TODO
time_precise,TODO
TimeMap2_beatsToTime,TODO
TimeMap2_GetDividedBpmAtTime,TODO
TimeMap2_GetNextChangeTime,TODO
TimeMap2_QNToTime,TODO
TimeMap2_timeToBeats,TODO
TimeMap2_timeToQN,TODO
TimeMap_curFrameRate,TODO
TimeMap_GetDividedBpmAtTime,TODO
TimeMap_GetMeasureInfo,TODO
TimeMap_GetMetronomePattern,TODO
TimeMap_GetTimeSigAtTime,TODO
TimeMap_QNToMeasures,TODO
TimeMap_QNToTime,TODO
TimeMap_QNToTime_abs,TODO
TimeMap_timeToQN,TODO
TimeMap_timeToQN_abs,TODO
ToggleTrackSendUIMute,TODO
Track_GetPeakHoldDB,TODO
Track_GetPeakInfo,TODO
TrackCtl_SetToolTip,TODO
TrackFX_AddByName,TODO
TrackFX_CopyToTake,TODO
TrackFX_CopyToTrack,TODO
TrackFX_Delete,TODO
TrackFX_EndParamEdit,TODO
TrackFX_FormatParamValue,TODO
TrackFX_FormatParamValueNormalized,TODO
TrackFX_GetByName,TODO
TrackFX_GetChainVisible,TODO
TrackFX_GetCount,TODO
TrackFX_GetEnabled,TODO
TrackFX_GetEQ,TODO
TrackFX_GetEQBandEnabled,TODO
TrackFX_GetEQParam,TODO
TrackFX_GetFloatingWindow,TODO
TrackFX_GetFormattedParamValue,TODO
TrackFX_GetFXGUID,TODO
TrackFX_GetFXName,TODO
TrackFX_GetInstrument,TODO
TrackFX_GetIOSize,TODO
TrackFX_GetNamedConfigParm,TODO
TrackFX_GetNumParams,TODO
TrackFX_GetOffline,TODO
TrackFX_GetOpen,TODO
TrackFX_GetParam,TODO
TrackFX_GetParameterStepSizes,TODO
TrackFX_GetParamEx,TODO
TrackFX_GetParamName,TODO
TrackFX_GetParamNormalized,TODO
TrackFX_GetPinMappings,TODO
TrackFX_GetPreset,TODO
TrackFX_GetPresetIndex,TODO
TrackFX_GetRecChainVisible,TODO
TrackFX_GetRecCount,TODO
TrackFX_GetUserPresetFilename,TODO
TrackFX_NavigatePresets,TODO
TrackFX_SetEnabled,TODO
TrackFX_SetEQBandEnabled,TODO
TrackFX_SetEQParam,TODO
TrackFX_SetNamedConfigParm,TODO
TrackFX_SetOffline,TODO
TrackFX_SetOpen,TODO
TrackFX_SetParam,TODO
TrackFX_SetParamNormalized,TODO
TrackFX_SetPinMappings,TODO
TrackFX_SetPreset,TODO
TrackFX_SetPresetByIndex,TODO
TrackFX_Show,TODO
TrackList_AdjustWindows,TODO
TrackList_UpdateAllExternalSurfaces,TODO
Undo_BeginBlock,Project.begin_undo_block
Undo_BeginBlock2,Project.begin_undo_block
Undo_CanRedo2,Project.can_redo
Undo_CanUndo2,Project.can_undo
Undo_DoRedo2,Project.redo
Undo_DoUndo2,Project.undo
Undo_EndBlock,Project.end_undo_block
Undo_EndBlock2,Project.end_undo_block
Undo_OnStateChange,TODO
Undo_OnStateChange2,TODO
Undo_OnStateChange_Item,TODO
Undo_OnStateChangeEx,TODO
Undo_OnStateChangeEx2,TODO
UpdateArrange,update_arrange
UpdateItemInProject,TODO
UpdateTimeline,update_timeline
ValidatePtr,TODO
ValidatePtr2,TODO
ViewPrefs,view_prefs
